testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-69,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-70,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-71,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-70,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-73,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-82,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-83,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-89,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,537,"AM",1,22.931007603118402,60.85959261002064,-100,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-86,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-95,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-91,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-85,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-92,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-90,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-88,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,567,"AM",1,4.111092087008469,68.50159355129132,-86,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,579,"AM",1,15.657972351110983,68.35175042702784,-89,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,579,"AM",1,15.657972351110983,68.35175042702784,-91,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,579,"AM",1,15.657972351110983,68.35175042702784,-92,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,579,"AM",1,15.657972351110983,68.35175042702784,-92,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,592,"AM",1,4.78590982289451,45.725435115368946,-91,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,592,"AM",1,4.78590982289451,45.725435115368946,-91,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,592,"AM",1,4.78590982289451,45.725435115368946,-91,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,592,"AM",1,4.78590982289451,45.725435115368946,-90,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,592,"AM",1,4.78590982289451,45.725435115368946,-94,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,592,"AM",1,4.78590982289451,45.725435115368946,-96,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-100,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-99,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-97,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-99,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-100,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,534,"AM",1,23.005985968048318,49.39659185422822,-105,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test12418",1000,534,"AM",1,23.005985968048318,49.39659185422822,-106,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test16545",1000,592,"AM",1,4.78590982289451,45.725435115368946,-69,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,592,"AM",1,4.78590982289451,45.725435115368946,-69,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,592,"AM",1,4.78590982289451,45.725435115368946,-73,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,592,"AM",1,4.78590982289451,45.725435115368946,-70,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,592,"AM",1,4.78590982289451,45.725435115368946,-69,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,592,"AM",1,4.78590982289451,45.725435115368946,-69,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,592,"AM",1,4.78590982289451,45.725435115368946,-69,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-89,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-90,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-89,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-89,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-89,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-91,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-91,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-91,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-90,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-90,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-89,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-91,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,582,"AM",1,11.908984843052998,23.099117519462734,-90,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,584,"AM",1,14.758214851116394,38.00851285497156,-95,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,584,"AM",1,14.758214851116394,38.00851285497156,-93,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,584,"AM",1,14.758214851116394,38.00851285497156,-94,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-96,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-91,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-100,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-95,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-95,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-95,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-97,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,533,"AM",1,22.40614815353179,38.158356368043094,-98,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,533,"AM",1,22.40614815353179,38.158356368043094,-97,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,533,"AM",1,22.40614815353179,38.158356368043094,-98,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,533,"AM",1,22.40614815353179,38.158356368043094,-98,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,533,"AM",1,22.40614815353179,38.158356368043094,-98,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,537,"AM",1,22.931007603118402,60.85959261002064,-95,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,537,"AM",1,22.931007603118402,60.85959261002064,-108,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,537,"AM",1,22.931007603118402,60.85959261002064,-99,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,537,"AM",1,22.931007603118402,60.85959261002064,-99,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,579,"AM",1,15.657972351110983,68.35175042702784,-101,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,579,"AM",1,15.657972351110983,68.35175042702784,-103,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,579,"AM",1,15.657972351110983,68.35175042702784,-95,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,579,"AM",1,15.657972351110983,68.35175042702784,-99,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-100,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,534,"AM",1,23.005985968048318,49.39659185422822,-99,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,534,"AM",1,23.005985968048318,49.39659185422822,-103,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,534,"AM",1,23.005985968048318,49.39659185422822,-100,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,534,"AM",1,23.005985968048318,49.39659185422822,-99,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,534,"AM",1,23.005985968048318,49.39659185422822,-103,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test16545",1000,534,"AM",1,23.005985968048318,49.39659185422822,-100,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test70565",1000,584,"AM",1,14.758214851116394,38.00851285497156,-92,"AM",1,4.308557968378728,49.51309274392676,1,6.658794198788213,34.08430782762657,15.6067618144246,0
"Test50294",1000,584,"AM",1,14.758214851116394,38.00851285497156,-79,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,582,"AM",1,11.908984843052998,23.099117519462734,-84,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,582,"AM",1,11.908984843052998,23.099117519462734,-89,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,582,"AM",1,11.908984843052998,23.099117519462734,-84,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,592,"AM",1,4.78590982289451,45.725435115368946,-91,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,592,"AM",1,4.78590982289451,45.725435115368946,-90,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-101,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-101,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-98,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,536,"AM",1,23.080965889417833,30.516355864181474,-103,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test50294",1000,534,"AM",1,23.005985968048318,49.39659185422822,-107,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test40075",1000,584,"AM",1,14.758214851116394,38.00851285497156,-83,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-96,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-94,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-92,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-96,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-91,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,592,"AM",1,4.78590982289451,45.725435115368946,-97,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,592,"AM",1,4.78590982289451,45.725435115368946,-93,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,582,"AM",1,11.908984843052998,23.099117519462734,-96,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,582,"AM",1,11.908984843052998,23.099117519462734,-95,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test40075",1000,533,"AM",1,22.40614815353179,38.158356368043094,-96,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test79839",1000,584,"AM",1,14.758214851116394,38.00851285497156,-77,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,584,"AM",1,14.758214851116394,38.00851285497156,-79,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,582,"AM",1,11.908984843052998,23.099117519462734,-85,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,582,"AM",1,11.908984843052998,23.099117519462734,-82,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-83,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-85,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-84,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-84,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,592,"AM",1,4.78590982289451,45.725435115368946,-84,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-84,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test79839",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-95,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test84117",1000,584,"AM",1,14.758214851116394,38.00851285497156,-76,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,584,"AM",1,14.758214851116394,38.00851285497156,-77,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,584,"AM",1,14.758214851116394,38.00851285497156,-79,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,584,"AM",1,14.758214851116394,38.00851285497156,-78,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-79,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,542,"AM",1,0.8869632503172951,30.44143410764571,-85,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,582,"AM",1,11.908984843052998,23.099117519462734,-85,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,582,"AM",1,11.908984843052998,23.099117519462734,-82,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,582,"AM",1,11.908984843052998,23.099117519462734,-85,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,582,"AM",1,11.908984843052998,23.099117519462734,-82,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,592,"AM",1,4.78590982289451,45.725435115368946,-93,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,592,"AM",1,4.78590982289451,45.725435115368946,-94,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-93,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-95,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,568,"AM",1,0.43708479215242596,38.00851285497156,-96,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,536,"AM",1,23.080965889417833,30.516355864181474,-95,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,588,"AM",1,3.0613755224946493,60.484984604957916,-102,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,533,"AM",1,22.40614815353179,38.158356368043094,-103,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test84117",1000,533,"AM",1,22.40614815353179,38.158356368043094,-113,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test8205",1000,582,"AM",1,11.908984843052998,23.099117519462734,-84,"AM",1,5.260234013275198,31.68301330731065,1,9.422975873835025,31.38109454702899,4.17367640521724,0
